WellNum,Success
0,False
1,False
10,True
100,False
101,False
102,False
103,False
104,False
105,False
106,False
107,False
108,False
109,False
11,False
110,True
111,False
112,False
113,False
114,False
115,False
116,False
117,False
118,False
119,False
12,False
120,False
121,False
122,False
123,False
124,False
125,False
126,False
127,False
128,False
129,False
13,False
130,False
131,False
132,False
133,False
134,False
135,False
136,False
137,False
138,False
139,False
14,False
140,False
141,False
142,False
143,False
144,False
145,False
146,False
147,True
148,False
149,False
15,False
150,False
151,False
152,False
153,False
154,False
155,False
156,False
157,False
158,False
159,False
16,False
160,True
161,True
162,False
163,False
164,False
165,False
166,False
167,False
168,False
169,False
17,False
170,False
171,False
172,False
173,False
174,False
175,False
176,False
177,False
178,False
179,False
18,False
180,False
181,False
182,False
183,False
184,False
185,False
186,False
187,False
188,False
189,False
19,False
190,False
191,False
192,False
193,False
194,False
195,False
196,False
197,False
198,False
199,False
2,False
20,False
200,False
201,False
202,False
203,False
204,False
205,False
206,False
207,False
208,False
209,False
21,True
210,False
211,False
212,True
213,False
214,False
215,False
216,False
217,False
218,False
219,False
22,False
220,False
221,False
222,False
223,False
224,False
225,False
226,False
227,False
228,False
229,False
23,False
230,False
231,False
232,False
233,False
234,True
235,False
236,True
237,False
238,False
239,False
24,False
240,False
241,False
242,False
243,False
244,False
245,False
246,False
247,False
248,False
249,False
25,False
250,False
251,False
252,False
253,False
254,False
255,False
256,False
257,False
258,True
259,True
26,False
260,False
261,True
262,True
263,False
264,True
265,False
266,False
267,False
268,False
269,False
27,False
270,False
271,False
272,False
273,False
274,False
275,False
276,False
277,False
278,False
279,False
28,False
280,False
281,False
282,False
283,False
284,False
285,True
286,True
287,False
288,True
289,True
29,False
290,False
291,False
292,False
293,False
294,False
295,False
296,False
297,False
298,True
299,False
3,False
30,False
300,False
301,False
302,False
303,False
304,False
305,False
306,False
307,False
308,False
309,False
31,False
310,False
311,False
312,False
313,True
314,True
315,False
316,True
317,False
318,False
319,False
32,False
320,False
321,False
322,False
323,False
324,False
325,False
326,False
327,False
328,False
329,False
33,False
