WCR Number,ScreenTopDepth_ft,ScreenBottomDepth_ft,WeatheredBedrockDepth_ft,BedrockDepth_ft,BedrockType_WellScreen,PLSS MTRS,WCR Links
WCR0084175,15,50,15,15,blue shale and clay,M14N12W07,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F14N12W%2F&files=14N12W07_56164.pdf
WCR2005-001908,20,155,2,25,greenstone w clay/shale,M14N12W18,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F14N12W%2F&files=14N12W18_0918947.pdf
WCR1995-001670,100,200,35,35,sandstone and shale,M14N13W28,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F14N13W%2F&files=14N13W28_442550.pdf
WCR2005-001929,100,200,2,65,sandstone/weathered sandstone/fractured sandstone w shale,M14N14W13,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F14N14W%2F&files=14N14W13_0918909.pdf
WCR0156999,45,85,75,75,blue clay and fractured rock/gray rock and serpentine,M14N14W18,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F14N14W%2F&files=14N14W18_118642.pdf
WCR0281053,35,106,30,30,rock/limestone/rock,M14N14W18,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F14N14W%2F&files=14N14W18_23004.pdf
WCR1992-004287,60,200,9999,9999,Did not reach bedrock,M14N14W18,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F14N14W%2F&files=14N14W18_398336.pdf
WCR1982-000320,70,160,25,25,hard sandstone/shale,M14N14W19,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F14N14W%2F&files=14N14W19_212065.pdf
WCR1994-004000,30,140,25,25,sandstone and blue clay,M14N14W19,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F14N14W%2F&files=14N14W19_548170.pdf
WCR2009-003238,60,200,180,180,sandstone with shale,M14N14W19,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F14N14W%2F&files=14N14W19_E0090057.pdf
