WCR Number,ScreenTopDepth_ft,ScreenBottomDepth_ft,WeatheredBedrockDepth_ft,BedrockDepth_ft,BedrockType_WellScreen,PLSS MTRS,WCR Links
WCR1989-001792,20,45,35,35,sands and sandstone,M16N17W34,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F16N17W%2F&files=16N17W34_211103.pdf
WCR1990-009847,120,180,36,36,sandstone,M16N17W35,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F16N17W%2F&files=16N17W35_365038.pdf
WCR1991-011076,40,137,65,65,brown sandstone,M16N17W35,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F16N17W%2F&files=16N17W35_433403.pdf
WCR2000-001719,160,240,0,32,hard sandstone/sandstone w shale,M17N16W36,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F17N16W%2F&files=17N16W36_710212.pdf
WCR2013-006469,65,105,12,12,hard gray rock/brownish red rock/gray rock/fractured rock,M17N16W36,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F17N16W%2F&files=17N16W36_E0184066.pdf
WCR1994-001140,40,80,38,38,sandstone,M17N17W30,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F17N17W%2F&files=17N17W12_419949.pdf
WCR0194445,80,100,14,14,hard sandy blue rock,M17N17W30,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F17N17W%2F&files=17N17W30_091758.pdf
WCR2005-001170,60,100,18,18,sandstone/hard sandstone,M17N17W30,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F17N17W%2F&files=17N17W30_0926376.pdf
WCR0308232,17,27,17,17,brown rock/blue rock,M17N17W30,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F17N17W%2F&files=17N17W30_123090.pdf
WCR0163468,20,62,16,16,brown rock/grey rock,M17N17W30,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F17N17W%2F&files=17N17W30_131623.pdf
WCR1988-002216,10,19,10,10,brown and gray shale,M17N17W30,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F17N17W%2F&files=17N17W30_210980.pdf
WCR0065542,11,18,9999,9999,Did not reach bedrock,M17N17W30,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F17N17W%2F&files=17N17W30_30883.pdf
WCR1995-005163,30,175,14,14,gray sandstone,M17N17W30,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F17N17W%2F&files=17N17W30_559970.pdf
WCR2001-001101,30,140,28,28,sandstone,M17N17W30,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F17N17W%2F&files=17N17W30_710686.pdf
WCR1998-005752,25,200,25,25,sandstone/sandston w shale,M17N17W30,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F17N17W%2F&files=17N17W30_814089.pdf
WCR1987-000508,60,100,57,57,hard blue and black rock,M17N17W31,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F17N17W%2F&files=17N17W31_134010.pdf
WCR0065556,50,60,0,0,sandstone/blue shale,M17N17W31,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F17N17W%2F&files=17N17W31_17933.pdf
WCR1985-005754,149,307,15,15,very hard gray sandstone with streaks of shale,M17N17W32,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F17N17W%2F&files=17N17W32_213700.pdf
