buff_dist,buff_range,buff_range_center,SegNum,IP_class,DTB_m_HighValue,WTD_m_HighValue
100,0-100 m,50,73,High,9.47807451405008,13.6310068074312
100,0-100 m,50,78,High,11.8920785744622,0.42916242166989
100,0-100 m,50,79,High,13.1644677705387,2.95388646062775e-05
100,0-100 m,50,80,High,12.5240830767922,0.0323443805606513
100,0-100 m,50,81,High,12.3067324030059,0.005191314969744
100,0-100 m,50,82,High,9.29701730773904,8.84717618926554
100,0-100 m,50,91,High,5.02045871387265,14.4541948410903
100,0-100 m,50,92,High,4.94872286973599,22.5792096815281
100,0-100 m,50,94,High,5.35142965150617,14.12326233854
100,0-100 m,50,95,High,4.66751008320795,16.8168213946069
100,0-100 m,50,107,High,11.8012812101703,2.98517386324136
100,0-100 m,50,108,High,7.13456795155199,18.4334866430542
100,0-100 m,50,116,High,11.5377434692163,11.3193691596687
100,0-100 m,50,117,High,13.8925184379028,9.84021520931519
100,0-100 m,50,119,High,13.6524387666489,14.1928308419006
100,0-100 m,50,120,High,10.9834108380502,13.0198511769619
100,0-100 m,50,121,High,10.3215976472296,4.56280697850306
100,0-100 m,50,123,High,9.78397694435721,8.40716165038207
100,0-100 m,50,124,High,9.04176785159624,20.9206515385795
100,0-100 m,50,129,High,8.50996278208627,28.4469026729746
100,0-100 m,50,130,High,7.6934793326705,21.6743395640424
100,0-100 m,50,131,High,8.67572996177262,21.8866992903785
100,0-100 m,50,172,High,11.6311993922414,19.7821320106122
100,0-100 m,50,173,High,10.865912480241,17.4064778333297
100,0-100 m,50,174,High,10.8234393311246,21.1740452148102
100,0-100 m,50,175,High,11.0325855328923,18.6827137611026
100,0-100 m,50,176,High,10.9514679321289,13.293921992559
100,0-100 m,50,179,High,11.8996497749281,7.14242559003732
100,0-100 m,50,180,High,10.3500332482156,12.1075826394299
100,0-100 m,50,181,High,7.71468855297515,17.5816594358034
100,0-100 m,50,182,High,6.40944290957946,21.1459081520057
100,0-100 m,50,183,High,4.68345711556681,23.9921890368179
100,0-100 m,50,214,High,10.5174093107612,32.5172010736706
100,0-100 m,50,215,High,7.58275894688428,17.4052766853272
100,0-100 m,50,216,High,4.95746897472811,34.1920414598274
100,0-100 m,50,217,High,4.07627806096577,32.7939328244822
100,0-100 m,50,219,High,4.47308097932901,26.2936518473048
100,0-100 m,50,230,High,11.4657487010486,4.55801133737692
100,0-100 m,50,231,High,11.6467326996853,0.646482926346327
100,0-100 m,50,232,High,12.9373824963602,18.8562479533803
100,0-100 m,50,233,High,14.3236487721628,0.406770303049395
100,0-100 m,50,234,High,18.5075777460114,0.136184506300019
100,0-100 m,50,236,High,19.9283594592335,0.025747024660188
100,0-100 m,50,237,High,23.2911046767291,0
100,0-100 m,50,238,High,26.1498765317731,0
100,0-100 m,50,239,High,21.4655940924234,0.0611058080743938
100,0-100 m,50,250,High,26.2644516153492,0
100,0-100 m,50,266,High,13.3420683550088,0.0367072369678911
100,0-100 m,50,268,High,14.2484140610997,0.93793201044139
100,0-100 m,50,270,High,12.4545066461918,5.05188376714365
100,0-100 m,50,271,High,4.64635305890377,35.1269730389127
100,0-100 m,50,272,High,10.0146306133843,13.5388177778495
100,0-100 m,50,273,High,11.4045809547127,7.83383423134252
100,0-100 m,50,276,High,8.3352736141792,26.6372909586438
100,0-100 m,50,277,High,8.09931143635126,12.6307442914326
100,0-100 m,50,278,High,6.19754414460261,11.5095072998838
100,0-100 m,50,279,High,5.71822292244708,2.64776952141581
