"SegNum","frac_depletion","WellNum","time_days","dist_wellToStream_m","Tr_bulk_m2d","S_bulk","lmda_m2d"
232,0.074,433,18143,2015.257,27.126,0.289,29.923
233,0.044,433,18143,1799.936,41.858,0.271,32.435
234,0.014,433,18143,2108.258,48.797,0.273,24.978
235,0.044,433,18143,2205.138,41.353,0.276,17.092
236,0.017,433,18143,2157.325,49.07,0.274,22.934
237,0.052,433,18143,2173.222,44.91,0.274,19.358
239,0.028,433,18143,3405.546,88.444,0.28,19.85
240,0.029,433,18143,5061.188,52.991,0.334,32.592
251,0.017,433,18143,4911.352,61.245,0.335,73.454
92,0.145,434,258,2605.455,21.057,0.27,110.644
93,0.086,434,258,2777.87,16.665,0.27,98.509
94,0.103,434,258,3552.218,17.414,0.27,100.525
224,0.064,434,258,1528.142,22.357,0.27,74.074
227,0.187,434,258,1614.118,11.617,0.27,61.856
231,0.187,434,258,2629.06,18.726,0.271,41.559
233,0.071,434,258,2532.923,15.156,0.271,32.435
237,0.131,434,258,2535.711,33.153,0.279,19.358
238,0.026,434,258,3071.548,47.867,0.279,16.517
84,0.03,434,3543,4369.539,21.806,0.27,90.25
85,0.055,434,3543,4007.341,26.167,0.27,105.249
87,0.028,434,3543,4446.418,32.755,0.27,114.098
89,0.028,434,3543,3622.491,34.945,0.27,130.267
90,0.039,434,3543,2765.553,38.285,0.27,109.467
92,0.057,434,3543,2605.455,21.057,0.27,110.644
93,0.034,434,3543,2777.87,16.665,0.27,98.509
94,0.04,434,3543,3552.218,17.414,0.27,100.525
95,0.052,434,3543,4299.327,24.997,0.272,107.649
217,0.051,434,3543,2846.106,15.874,0.275,94.259
219,0.017,434,3543,4745.695,12.598,0.285,89.491
224,0.025,434,3543,1528.142,22.357,0.27,74.074
225,0.061,434,3543,1743.967,10.37,0.27,72.832
226,0.061,434,3543,2249.438,12.88,0.27,66.683
227,0.073,434,3543,1614.118,11.617,0.27,61.856
229,0.015,434,3543,4564.333,24.466,0.271,44.451
230,0.029,434,3543,3496.705,19.586,0.27,42.464
231,0.073,434,3543,2629.06,18.726,0.271,41.559
232,0.055,434,3543,2785.693,14.018,0.287,29.923
233,0.028,434,3543,2532.923,15.156,0.271,32.435
235,0.038,434,3543,2756.869,16.128,0.285,17.092
236,0.013,434,3543,2599.183,24.034,0.282,22.934
237,0.051,434,3543,2535.711,33.153,0.279,19.358
239,0.035,434,3543,3438.078,52.807,0.281,19.85
240,0.014,434,3543,4865.037,230.722,0.305,32.592
84,0.029,434,18143,4369.539,21.806,0.27,90.25
85,0.06,434,18143,4007.341,26.167,0.27,105.249
87,0.032,434,18143,4446.418,32.755,0.27,114.098
89,0.026,434,18143,3622.491,34.945,0.27,130.267
90,0.037,434,18143,2765.553,38.285,0.27,109.467
92,0.054,434,18143,2605.455,21.057,0.27,110.644
93,0.032,434,18143,2777.87,16.665,0.27,98.509
94,0.038,434,18143,3552.218,17.414,0.27,100.525
95,0.06,434,18143,4299.327,24.997,0.272,107.649
217,0.049,434,18143,2846.106,15.874,0.275,94.259
219,0.025,434,18143,4745.695,12.598,0.285,89.491
224,0.024,434,18143,1528.142,22.357,0.27,74.074
225,0.057,434,18143,1743.967,10.37,0.27,72.832
226,0.057,434,18143,2249.438,12.88,0.27,66.683
227,0.069,434,18143,1614.118,11.617,0.27,61.856
229,0.014,434,18143,4564.333,24.466,0.271,44.451
230,0.027,434,18143,3496.705,19.586,0.27,42.464
231,0.069,434,18143,2629.06,18.726,0.271,41.559
232,0.052,434,18143,2785.693,14.018,0.287,29.923
233,0.026,434,18143,2532.923,15.156,0.271,32.435
235,0.036,434,18143,2756.869,16.128,0.285,17.092
236,0.012,434,18143,2599.183,24.034,0.282,22.934
237,0.048,434,18143,2535.711,33.153,0.279,19.358
239,0.033,434,18143,3438.078,52.807,0.281,19.85
240,0.033,434,18143,4865.037,230.722,0.305,32.592
92,0.22,435,258,1797.703,23.886,0.27,110.644
93,0.148,435,258,1917.268,23.452,0.27,98.509
94,0.156,435,258,2571.642,21.395,0.27,100.525
224,0.071,435,258,1368.611,17.049,0.27,74.074
225,0.179,435,258,1475.981,26.763,0.27,72.832
227,0.079,435,258,2301.439,26.281,0.27,61.856
233,0.034,435,258,3402.287,55.767,0.27,32.435
237,0.078,435,258,3150.048,64.482,0.273,19.358
238,0.018,435,258,3407.392,65.483,0.275,16.517
245,0.017,435,258,4858.725,71.085,0.28,26.962
89,0.01,435,3543,3510.427,26.984,0.27,130.267
90,0.075,435,3543,2386.152,23.725,0.27,109.467
91,0.014,435,3543,2382.302,24.923,0.27,111.413
92,0.164,435,3543,1797.703,23.886,0.27,110.644
93,0.11,435,3543,1917.268,23.452,0.27,98.509
94,0.117,435,3543,2571.642,21.395,0.27,100.525
95,0.036,435,3543,3310.945,18.715,0.274,107.649
217,0.082,435,3543,2404.188,26.905,0.272,94.259
224,0.053,435,3543,1368.611,17.049,0.27,74.074
225,0.133,435,3543,1475.981,26.763,0.27,72.832
226,0.023,435,3543,3068.186,40.339,0.27,66.683
227,0.059,435,3543,2301.439,26.281,0.27,61.856
233,0.025,435,3543,3402.287,55.767,0.27,32.435
236,0.013,435,3543,3293.398,71.246,0.272,22.934
237,0.058,435,3543,3150.048,64.482,0.273,19.358
238,0.014,435,3543,3407.392,65.483,0.275,16.517
245,0.013,435,3543,4858.725,71.085,0.28,26.962
84,0.021,435,18143,5144.361,51.122,0.27,90.25
85,0.047,435,18143,4742.664,44.459,0.27,105.249
87,0.028,435,18143,4608.573,33.328,0.27,114.098
89,0.026,435,18143,3510.427,26.984,0.27,130.267
