"MonthNum","WaterUseMean_GPCD","WaterUseStd_GPCD","WaterUseMean_GalHouseDay","WaterUseStd_GalHouseDay","domain"
1,56.23152,13.0814603763226,149.013528,34.6658699972548,"Region"
2,56.8041232876712,13.1703099853264,150.530926712329,34.901321461115,"Region"
3,57.1753114754098,15.4019375540233,151.514575409836,40.8151345181617,"Region"
4,58.6616,14.1411338542829,155.45324,37.4740047138497,"Region"
5,69.3971475409836,19.0342642812342,183.902440983607,50.4408003452707,"Region"
6,84.4398955223881,28.1129414414237,223.765723134328,74.4992948197728,"Region"
7,91.0218115942029,29.1672403327045,241.207800724638,77.293186881667,"Region"
8,92.7505223880597,32.6253526345081,245.788884328358,86.4571844814465,"Region"
9,87.9100146666667,28.2882339659695,232.961538866667,74.9638200098192,"Region"
10,75.1087546666667,20.5395759178983,199.038199866667,54.4298761824304,"Region"
11,60.7592266666667,13.1530276686903,161.011950666667,34.8555233220294,"Region"
12,56.8073066666667,14.2530763819826,150.539362666667,37.7706524122539,"Region"
1,54.4,2.30217288664427,144.16,6.1007581496073,"Healdsburg"
2,55.2,4.86826457785523,146.28,12.9009011313164,"Healdsburg"
3,60.5,10.3440804327886,160.325,27.4118131468898,"Healdsburg"
4,70.5,8.9628864398325,186.825,23.7516490655561,"Healdsburg"
5,102.75,12.6062153982338,272.2875,33.4064708053195,"Healdsburg"
6,126.2,18.619881847101,334.43,49.3426868948176,"Healdsburg"
7,133,14.8155323900291,352.45,39.261160833577,"Healdsburg"
8,130.6,13.6491757992928,346.09,36.1703158681259,"Healdsburg"
9,121.6,13.7586336530922,322.24,36.4603791806942,"Healdsburg"
10,104,28.4692816909735,275.6,75.4435964810798,"Healdsburg"
11,73,12.1037184369102,193.45,32.074853857812,"Healdsburg"
12,57.6,1.94935886896179,152.64,5.16580100274875,"Healdsburg"
