"SegNum","stream_elev_m","stream_dtb_m","stream_width_m","WellNum","well_elev_m","well_screenTopDepth_m","well_screenBotDepth_m","well_wte_m","well_dtb_m","dist_wellToStream_m","mu_well_m","mf_well_m","mu_stream_m","mf_stream_m","Tr_well_m2d","Tr_stream_m2d","Tr_bulk_m2d","S_well","S_stream","S_bulk","lmda_m2d"
271,176.36,4.648,9.812,416,527.724,268.248,302.548,259.475,11.106,5728.797,0,83.115,4.648,44.168,22.709,1819.069,23.122,0.27,0.278,0.27,82.087
277,109.258,8.127,11.232,416,392.363,114.05,148.35,278.313,6.387,5289.428,0,169.056,8.127,126.629,46.189,3194.202,50.522,0.27,0.275,0.27,53.74
278,138.31,6.192,10.995,416,444.869,165.293,199.593,279.576,5.305,3669.168,0,141.266,6.192,100.774,38.597,2434.983,54.981,0.27,0.275,0.271,69.038
279,154.139,5.716,10.756,416,664.242,391.891,426.191,272.351,3.889,3333.858,0,118.212,5.716,78.196,32.298,2243.709,39.381,0.27,0.275,0.271,73.16
280,168.309,6.052,10.608,416,678.652,408.449,442.749,270.203,4.36,1939.443,0,101.894,6.052,61.542,27.839,2369.704,31.083,0.27,0.277,0.271,68.15
281,187.329,5.789,10.479,416,728.155,463.576,497.876,264.579,5.133,1849.153,0,77.251,5.789,37.162,21.106,2260.84,22.34,0.27,0.281,0.271,70.383
282,230.616,4.273,10.346,416,571.244,307.983,342.283,263.261,6.079,2020.905,0,34.3,4.273,0,9.371,1661.405,11.229,0.27,0.35,0.279,94.139
283,275.965,4.222,10.179,416,714.349,451.169,485.469,263.18,9.108,3875.147,0,47.085,4.222,42.863,12.865,1653.356,13.62,0.27,0.277,0.272,93.733
284,279.785,4.37,10.068,416,779.357,516.041,550.341,263.317,11.712,4234.206,0,50.768,4.37,46.398,13.871,1711.803,14.28,0.27,0.277,0.27,89.573
285,352.54,4.616,9.905,416,647.733,384.546,418.846,263.186,12.094,4234.206,0,123.653,4.616,119.038,33.785,1827.207,48.165,0.27,0.273,0.277,83.426
286,464.197,5.362,9.828,416,524.499,261.482,295.782,263.016,11.281,6341.862,0,235.481,5.362,230.119,64.338,2147.537,173.345,0.27,0.272,0.285,71.269
287,191.352,5.375,9.824,416,366.129,104.022,138.322,262.107,9.665,3659.562,0,70.754,5.375,31.079,19.332,2098.25,30.664,0.27,0.282,0.279,71.061
288,299.402,4.194,9.809,416,256.945,0.397,34.697,256.549,8.796,4367.626,8.399,68.754,4.194,72.959,3284.434,1650.457,23.904,0.279,0.274,0.272,90.941
289,300.321,4.31,9.872,416,278.757,10.869,45.169,267.888,8.646,3576.61,0,66.733,4.31,62.423,18.233,1692.792,18.233,0.27,0.275,0.27,89.053
290,157.648,8.781,9.923,416,291.029,20.891,55.191,270.137,7.682,6766.8,0,112.489,8.781,69.408,30.734,3433.044,32.206,0.27,0.279,0.27,43.935
291,160.751,9.216,9.857,416,392.866,116.48,150.78,276.386,6.92,6952.562,0,115.635,9.216,72.119,31.594,3603.017,31.594,0.27,0.279,0.27,41.583
444,360.972,4.854,10.14,416,167.463,125.623,159.923,41.84,11.295,6303.146,0,353.432,4.854,348.577,96.565,1982.539,112.318,0.27,0.271,0.271,81.217
482,435.312,5.46,9.783,416,65.439,14.796,49.096,50.643,10.572,6611.602,0,418.969,5.46,413.509,114.471,2235.92,185.788,0.27,0.271,0.275,69.66
483,402.074,5.155,9.924,416,184.129,136.374,170.674,47.756,9.541,6410.119,0,388.619,5.155,383.464,106.179,2108.888,153.96,0.27,0.271,0.273,74.855
167,159.455,7.229,10.687,417,710.426,515.401,549.701,195.025,6.572,6436.55,0,35.57,7.229,0,9.719,2810.726,16.008,0.27,0.35,0.271,57.478
168,176.3,7.235,10.51,417,254.527,90.575,124.875,163.952,8.225,5389.84,0,46.648,7.235,39.413,12.745,2823.879,25.28,0.27,0.282,0.27,56.477
169,200.237,6.475,10.147,417,351.52,185.193,219.493,166.327,8.51,3129.504,0,68.21,6.475,61.735,18.636,2534.25,26.751,0.27,0.278,0.27,60.932
170,243.547,5.84,10.051,417,165.657,0.329,34.629,165.328,7.051,1700.219,6.723,105.796,5.84,106.679,2642.644,2299.549,31.39,0.275,0.274,0.27,66.923
171,311.063,4.418,9.88,417,445.103,279.425,313.725,165.678,5.237,2012.066,0,179.685,4.418,175.267,49.094,1765.596,71.469,0.27,0.272,0.274,86.945
182,117.366,6.408,10.101,417,162.229,71.757,106.057,90.472,13.295,6541.744,0,61.194,6.408,54.786,16.719,2506.334,35.028,0.27,0.278,0.27,61.29
183,158.292,4.695,9.977,417,63.844,0.956,35.256,62.887,14.847,5216.419,13.89,115.814,4.695,125.009,5432.202,1859.576,47.183,0.279,0.273,0.27,82.624
192,202.052,6.828,10.027,417,144.462,0,34.3,146.999,3.836,4985.688,3.836,88.055,6.828,85.062,1515.333,2678.009,35.953,0.273,0.276,0.27,57.095
259,234.909,3.024,10.43,417,445.091,242.245,276.545,202.846,5.917,7126.188,0,66.362,3.024,63.339,18.132,1192.985,21.94,0.27,0.274,0.27,134.109
260,250.788,3.021,10.37,417,278.631,84.388,118.688,194.242,6.509,6691.757,0,90.845,3.021,87.824,24.821,1198.694,27.636,0.27,0.273,0.271,133.44
261,266.497,3.394,10.316,417,168.179,0,34.3,170.502,5.94,6022.357,5.94,126.678,3.394,129.224,2344.094,1354.786,42.314,0.274,0.272,0.272,118.186
262,335.804,4.248,10.206,417,235.334,39.907,74.207,195.427,5.325,6014.507,0,174.677,4.248,170.429,47.725,1698.243,72.659,0.27,0.272,0.279,93.412
263,432.606,4.704,9.88,417,389.402,196.007,230.307,193.396,5.115,7085.319,0,273.51,4.704,268.806,74.729,1902.524,205.944,0.27,0.271,0.287,81.653
265,282.637,4.614,9.833,417,481.299,294.266,328.566,187.033,5.317,5912.871,0,129.904,4.614,125.29,35.493,1828.205,47.587,0.27,0.273,0.277,82.856
