"SegNum","WellNum","time_days","pump_factor","Qs","frac_depletion","depletion_m3d"
62,4,18143,1.5,1.0089367,0.014,0.0141251
64,4,258,0.5,2.6e-06,0.011,0
64,4,3543,0.5,0.1105581,0.011,0.0012161
64,4,18143,0.5,0.2643348,0.011,0.0029077
64,4,258,1,5.2e-06,0.011,1e-07
64,4,3543,1,0.2211163,0.011,0.0024323
64,4,18143,1,0.5286696,0.011,0.0058154
64,4,258,1.5,7.7e-06,0.011,1e-07
64,4,3543,1.5,0.3316744,0.011,0.0036484
64,4,18143,1.5,0.7930045,0.011,0.008723
336,4,258,0.5,0,0.092,0
336,4,3543,0.5,0.0708895,0.092,0.0065218
336,4,18143,0.5,0.2313556,0.092,0.0212847
336,4,258,1,1e-07,0.092,0
336,4,3543,1,0.141779,0.092,0.0130437
336,4,18143,1,0.4627113,0.092,0.0425694
336,4,258,1.5,1e-07,0.092,0
336,4,3543,1.5,0.2126685,0.092,0.0195655
336,4,18143,1.5,0.6940669,0.092,0.0638542
51,5,258,0.5,0,0.039,0
51,5,3543,0.5,0,0.028,0
51,5,18143,0.5,0.0072728,0.026,0.0001891
51,5,258,1,0,0.039,0
51,5,3543,1,0,0.028,0
51,5,18143,1,0.0145457,0.026,0.0003782
51,5,258,1.5,0,0.039,0
51,5,3543,1.5,1e-07,0.028,0
51,5,18143,1.5,0.0218185,0.026,0.0005673
61,5,258,0.5,0.000127,0.805,0.0001022
61,5,3543,0.5,0.1647916,0.585,0.0964031
61,5,18143,0.5,0.3002316,0.545,0.1636262
61,5,258,1,0.000254,0.805,0.0002045
61,5,3543,1,0.3295832,0.585,0.1928062
61,5,18143,1,0.6004631,0.545,0.3272524
61,5,258,1.5,0.000381,0.805,0.0003067
61,5,3543,1.5,0.4943747,0.585,0.2892092
61,5,18143,1.5,0.9006947,0.545,0.4908786
62,5,258,0.5,0,0.065,0
62,5,3543,0.5,0.0075063,0.047,0.0003528
62,5,18143,0.5,0.1262414,0.044,0.0055546
62,5,258,1,0,0.065,0
62,5,3543,1,0.0150126,0.047,0.0007056
62,5,18143,1,0.2524828,0.044,0.0111092
62,5,258,1.5,0,0.065,0
62,5,3543,1.5,0.0225189,0.047,0.0010584
62,5,18143,1.5,0.3787242,0.044,0.0166639
63,5,258,0.5,1.1e-05,0.091,1e-06
63,5,3543,0.5,0.1278649,0.066,0.0084391
63,5,18143,0.5,0.276598,0.061,0.0168725
63,5,258,1,2.2e-05,0.091,2e-06
63,5,3543,1,0.2557297,0.066,0.0168782
63,5,18143,1,0.5531961,0.061,0.033745
63,5,258,1.5,3.29e-05,0.091,3e-06
63,5,3543,1.5,0.3835946,0.066,0.0253172
63,5,18143,1.5,0.8297941,0.061,0.0506174
64,5,3543,0.5,0.0787869,0.063,0.0049636
64,5,18143,0.5,0.2386554,0.059,0.0140807
64,5,3543,1,0.1575739,0.063,0.0099272
64,5,18143,1,0.4773109,0.059,0.0281613
64,5,3543,1.5,0.2363608,0.063,0.0148907
64,5,18143,1.5,0.7159663,0.059,0.042242
214,5,3543,0.5,0.0016265,0.014,2.28e-05
214,5,18143,0.5,0.0864843,0.021,0.0018162
214,5,3543,1,0.0032531,0.014,4.55e-05
214,5,18143,1,0.1729687,0.021,0.0036323
214,5,3543,1.5,0.0048796,0.014,6.83e-05
214,5,18143,1.5,0.259453,0.021,0.0054485
336,5,3543,0.5,0.0536636,0.196,0.0105181
336,5,18143,0.5,0.2134928,0.192,0.0409906
336,5,3543,1,0.1073272,0.196,0.0210361
336,5,18143,1,0.4269856,0.192,0.0819812
336,5,3543,1.5,0.1609908,0.196,0.0315542
336,5,18143,1.5,0.6404785,0.192,0.1229719
66,5,18143,0.5,0.0594286,0.012,0.0007131
