Time,pump,Qf.thres,web.exp,n.reach,n.match,bias.match,MAE.match,depletion.prc.modflow.mean,depletion.prc.modflow.min,depletion.prc.modflow.max,RMSE.match,MSE.match,KGE.match,prc.match
130.3,Transient,1e-04,1,36,29,225.6,0.0978160651928501,0.0401639550371128,0.00132086088428994,0.449973274581441,0.141159718459805,0.0199260661156513,-1.33422585841069,0.805555555555556
130.3,Transient,1e-04,1.25,36,29,275.9,0.11669949438277,0.0401639550371128,0.00132086088428994,0.449973274581441,0.16590115824399,0.0275231943066973,-1.82147430441378,0.805555555555556
130.3,Transient,1e-04,1.5,36,29,319,0.13295090597261,0.0401639550371128,0.00132086088428994,0.449973274581441,0.18759131924074,0.0351905030544813,-2.24431396702717,0.805555555555556
130.3,Transient,1e-04,1.75,36,29,353.7,0.145928683750388,0.0401639550371128,0.00132086088428994,0.449973274581441,0.204757542733402,0.0419256513062208,-2.58649417822493,0.805555555555556
130.3,Transient,1e-04,2,36,30,380.6,0.155904239305943,0.0401639550371128,0.00132086088428994,0.449973274581441,0.217647725152019,0.0473705322638487,-2.85293257287063,0.833333333333333
130.3,Transient,1e-04,2.25,36,30,401.1,0.163463128194832,0.0401639550371128,0.00132086088428994,0.449973274581441,0.227138245942691,0.0515917827699225,-3.05720412794959,0.833333333333333
130.3,Transient,1e-04,2.5,36,31,416.8,0.169190072639277,0.0401639550371128,0.00132086088428994,0.449973274581441,0.23412412494094,0.0548141058793611,-3.21359633094914,0.861111111111111
130.3,Transient,1e-04,2.75,36,31,428.9,0.173564517083721,0.0401639550371128,0.00132086088428994,0.449973274581441,0.239323218816358,0.0572756030646222,-3.33415758658426,0.861111111111111
130.3,Transient,1e-04,3,36,31,438.3,0.176943128194832,0.0401639550371128,0.00132086088428994,0.449973274581441,0.243250690044667,0.0591708982072068,-3.42801310106052,0.861111111111111
130.3,Transient,0.001,1,36,29,226.6,0.0982057874150723,0.0401639550371128,0.00132086088428994,0.449973274581441,0.14201336153405,0.0201677948542007,-1.34350055052722,0.805555555555556
130.3,Transient,0.001,1.25,36,29,277,0.117167272160548,0.0401639550371128,0.00132086088428994,0.449973274581441,0.166845592255457,0.0278374516550741,-1.83278222589843,0.805555555555556
130.3,Transient,0.001,1.5,36,29,320.3,0.133461739305943,0.0401639550371128,0.00132086088428994,0.449973274581441,0.188580848992565,0.0355627366067566,-2.25675491839895,0.805555555555556
130.3,Transient,0.001,1.75,36,29,355,0.14644340597261,0.0401639550371128,0.00132086088428994,0.449973274581441,0.205741021795068,0.0423293680492784,-2.59907565247815,0.805555555555556
130.3,Transient,0.001,2,36,30,381.8,0.156390350417054,0.0401639550371128,0.00132086088428994,0.449973274581441,0.218578200474655,0.0477764297227386,-2.86483667402681,0.833333333333333
130.3,Transient,0.001,2.25,36,30,402.2,0.163900350417054,0.0401639550371128,0.00132086088428994,0.449973274581441,0.227983011909432,0.0519762537192961,-3.06792140959406,0.833333333333333
130.3,Transient,0.001,2.5,36,31,417.8,0.169569517083721,0.0401639550371128,0.00132086088428994,0.449973274581441,0.234866369771859,0.0551622116498114,-3.22290229820892,0.861111111111111
130.3,Transient,0.001,2.75,36,31,429.7,0.173884517083721,0.0401639550371128,0.00132086088428994,0.449973274581441,0.239957321962207,0.0575795163632742,-3.34200807220412,0.861111111111111
130.3,Transient,0.001,3,36,31,439,0.177206739305943,0.0401639550371128,0.00132086088428994,0.449973274581441,0.243779470419168,0.0594284301978499,-3.43448142826238,0.861111111111111
130.3,Transient,0.01,1,36,29,226.8,0.098304954081739,0.0401639550371128,0.00132086088428994,0.449973274581441,0.14223589283586,0.0202310492108143,-1.345860940473,0.805555555555556
130.3,Transient,0.01,1.25,36,29,277.4,0.117294216604992,0.0401639550371128,0.00132086088428994,0.449973274581441,0.167109101976244,0.0279254519633068,-1.83585112305879,0.805555555555556
130.3,Transient,0.01,1.5,36,29,320.7,0.133609239305943,0.0401639550371128,0.00132086088428994,0.449973274581441,0.188874859411871,0.0356737125178541,-2.26034721914309,0.805555555555556
130.3,Transient,0.01,1.75,36,29,355.4,0.146600350417054,0.0401639550371128,0.00132086088428994,0.449973274581441,0.206049170402854,0.0424562606237042,-2.60291188665741,0.805555555555556
130.3,Transient,0.01,2,36,30,382.2,0.156546739305943,0.0401639550371128,0.00132086088428994,0.449973274581441,0.218884969810169,0.0479106300087987,-2.86866639574809,0.833333333333333
130.3,Transient,0.01,2.25,36,30,402.6,0.164048683750388,0.0401639550371128,0.00132086088428994,0.449973274581441,0.228275748521261,0.0521098173629421,-3.07155740003944,0.833333333333333
130.3,Transient,0.01,2.5,36,31,418.1,0.169704794861499,0.0401639550371128,0.00132086088428994,0.449973274581441,0.235135755268636,0.055288823405752,-3.22622004011825,0.861111111111111
130.3,Transient,0.01,2.75,36,31,430,0.174003961528166,0.0401639550371128,0.00132086088428994,0.449973274581441,0.240197514213044,0.0576948458341253,-3.34493839898602,0.861111111111111
130.3,Transient,0.01,3,36,31,439.2,0.177310350417054,0.0401639550371128,0.00132086088428994,0.449973274581441,0.243989798307339,0.0595310216780558,-3.43702379608562,0.861111111111111
140.7,Transient,1e-04,1,41,34,146.2,0.0825782251373228,0.0492047526163945,0.00132086088428994,0.509852301335919,0.120135672916917,0.0144325799072005,-0.538773576812991,0.829268292682927
140.7,Transient,1e-04,1.25,41,34,184,0.0971139665355707,0.0492047526163945,0.00132086088428994,0.509852301335919,0.142816012355068,0.0203964133850029,-0.899984895173204,0.829268292682927
