stream_BC,pump,analytical,apportionment,method,Time,MSE.sum,KGE.sum
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,699,0.00601006035033618,0.460694047517212
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,709.3,0.00546629877063286,0.436593773814615
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,719.7,0.00499603276807055,0.41723502473009
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,730,0.0046721022616295,0.392740821132133
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,740.3,0.00449812172725951,0.378686799372636
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,750.7,0.00424816561938933,0.361413411246006
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,761,0.00413161227795253,0.347940846881391
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,770.3,0.00399710693304008,0.334845818622763
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,779.7,0.00393992653545988,0.320618723113279
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,789,0.00387663513079899,0.306515922208676
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,799.3,0.00378100674644308,0.298639083633887
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,809.7,0.00370160956113757,0.290780348145388
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,820,0.00365858518955302,0.280190809889226
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,830,0.00360113089199323,0.275703723283012
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,840,0.00354873330008906,0.26265888130264
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,850,0.00352542884245209,0.260384766183101
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,860.3,0.00337248629920353,0.25271332131685
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,870.7,0.00333301846494188,0.244962770783088
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,881,0.00329473267352785,0.238079444230445
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,891,0.00721832771306498,0.146362936281023
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,901,0.00974290726189354,0.0897966074742677
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,911,0.0113909335549037,0.119366727145073
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,921.3,0.0125035936424257,0.163468111442368
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,931.7,0.0134523277819089,0.20169263857187
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,942,0.0142733176847288,0.239693349256388
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,952.3,0.0149309438832176,0.266573134490562
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,962.7,0.0155615807606616,0.291586764188694
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,973,0.0161121989901256,0.311056362813736
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,983,0.0166168377676717,0.325810602991801
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,993,0.0171136955667891,0.335425078101625
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1003,0.0173153313064661,0.352399774633736
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1013.3,0.0179680617093009,0.364064470106111
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1023.7,0.018299903407427,0.367675251596327
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1034,0.0187234765955223,0.371267882621674
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1044,0.0113199744632504,0.328335230783033
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1054,0.00924269288028831,0.350248914432946
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1064,0.00837503352922807,0.337229164505792
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1074.3,0.00812723274923796,0.32304132147241
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1084.7,0.00762032872170915,0.304889228570397
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1095,0.00730692685435169,0.288078071780885
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1105.3,0.00717805851767066,0.278359702827545
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1115.7,0.00697115618452195,0.264931573076285
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1126,0.00688232628035674,0.257411388803937
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1135.3,0.00676547779538908,0.246227751208485
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1144.7,0.00669264382575401,0.23936960118153
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1154,0.00661130308223796,0.233231848457562
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1164.3,0.00662440169846711,0.217857581487438
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1174.7,0.00645308963965302,0.217736648177138
