stream_BC,pump,analytical,apportionment,method,Time,MSE.overall,KGE.overall
SFR,Transient,hunt,AdjacentOnly,Qf.Web,130.3,0.000908834366154565,0.0845670480821624
SFR,Transient,hunt,AdjacentOnly,Qf.Web,140.7,0.0030776797275791,0.275605250278294
SFR,Transient,hunt,AdjacentOnly,Qf.Web,151,0.00362315600351377,0.461356086163107
SFR,Transient,hunt,AdjacentOnly,Qf.Web,161,0.00407238746861658,0.50367487851644
SFR,Transient,hunt,AdjacentOnly,Qf.Web,171,0.0057160233001539,0.402618058616409
SFR,Transient,hunt,AdjacentOnly,Qf.Web,181,0.00582561841034706,0.301526332641783
SFR,Transient,hunt,AdjacentOnly,Qf.Web,191.3,0.00591726020107424,0.403655143477053
SFR,Transient,hunt,AdjacentOnly,Qf.Web,201.7,0.00719337896234385,0.147364350419569
SFR,Transient,hunt,AdjacentOnly,Qf.Web,212,0.00801665869571393,0.1477566734079
SFR,Transient,hunt,AdjacentOnly,Qf.Web,222.3,0.00720769927553625,0.32340350703189
SFR,Transient,hunt,AdjacentOnly,Qf.Web,232.7,0.0076073699204284,0.26123284210503
SFR,Transient,hunt,AdjacentOnly,Qf.Web,243,0.00794919394779978,0.156994761201109
SFR,Transient,hunt,AdjacentOnly,Qf.Web,253,0.00838692531142553,0.137187964689604
SFR,Transient,hunt,AdjacentOnly,Qf.Web,263,0.00901084217649973,0.0686937502093078
SFR,Transient,hunt,AdjacentOnly,Qf.Web,273,0.00901828132655668,0.144859888163386
SFR,Transient,hunt,AdjacentOnly,Qf.Web,283.3,0.00964922226593298,0.069008378697601
SFR,Transient,hunt,AdjacentOnly,Qf.Web,293.7,0.010055567853911,-0.0190525945155458
SFR,Transient,hunt,AdjacentOnly,Qf.Web,304,0.00977095978045058,0.0429227345616514
SFR,Transient,hunt,AdjacentOnly,Qf.Web,314,0.0108889655811721,-0.0440537806221537
SFR,Transient,hunt,AdjacentOnly,Qf.Web,324,0.0113840619982069,0.000993819748145497
SFR,Transient,hunt,AdjacentOnly,Qf.Web,334,0.0106712844731005,-0.0636394220980656
SFR,Transient,hunt,AdjacentOnly,Qf.Web,344.3,0.0105691806292349,-0.0787581368408408
SFR,Transient,hunt,AdjacentOnly,Qf.Web,354.7,0.0108076600631957,0.0215539763941591
SFR,Transient,hunt,AdjacentOnly,Qf.Web,365,0.00959932351000411,0.0536420022749069
SFR,Transient,hunt,AdjacentOnly,Qf.Web,375.3,0.0109313392833837,-0.00967942876418904
SFR,Transient,hunt,AdjacentOnly,Qf.Web,385.7,0.0105223521209596,-0.0477801913065345
SFR,Transient,hunt,AdjacentOnly,Qf.Web,396,0.0113054410349829,-0.0162169526799665
SFR,Transient,hunt,AdjacentOnly,Qf.Web,405.3,0.00909892577781672,0.0196467773545612
SFR,Transient,hunt,AdjacentOnly,Qf.Web,414.7,0.0110519151328765,0.00237191004354587
SFR,Transient,hunt,AdjacentOnly,Qf.Web,424,0.0110902777082028,0.0214798465223327
SFR,Transient,hunt,AdjacentOnly,Qf.Web,434.3,0.00987180493567833,0.0626060519195258
SFR,Transient,hunt,AdjacentOnly,Qf.Web,444.7,0.0114523713960236,-0.0962230033292792
SFR,Transient,hunt,AdjacentOnly,Qf.Web,455,0.0116249946952304,-0.0650981464739813
SFR,Transient,hunt,AdjacentOnly,Qf.Web,465,0.0121168029308676,-0.218779402911431
SFR,Transient,hunt,AdjacentOnly,Qf.Web,475,0.0111228295785157,0.0505859896798895
SFR,Transient,hunt,AdjacentOnly,Qf.Web,485,0.0106750920231341,0.0264197954170932
