"SegNum","Chinook_IP_mean","Chinook_IP_max","Coho_IP_mean","Coho_IP_max","Steel_IP_mean","Steel_IP_max"
61,0.984074135555036,0.996345996856689,0.6260263653859,0.628380239009857,0.742357179935078,0.755195260047913
62,0.985274877600447,0.996345996856689,0.606340405418081,0.628380239009857,0.712077329432788,0.768621444702148
63,0.987694025039673,0.987694025039673,0.552870127191085,0.625373423099518,0.714618808200502,0.755195260047913
64,0.982151465396784,0.986692130565643,0.624675363889958,0.625373423099518,0.754992777884422,0.75578099489212
65,0.98754096031189,0.98754096031189,0.624516904354095,0.624516904354095,0.716100811958313,0.716100811958313
66,0.973659068479241,0.978007376194,0.624817885456964,0.625373423099518,0.747688381615454,0.752760887145996
67,0.964429344699742,0.965633153915405,0.623082273645329,0.625373423099518,0.750430691845426,0.764890313148499
68,0.949060524736155,0.965540587902069,0.619753115518538,0.621409177780151,0.732835204993917,0.764890313148499
69,0.942887783050537,0.942887783050537,0.621409177780151,0.621409177780151,0.742965936660767,0.742965936660767
70,0.934561152104258,0.963563501834869,0.615813507905148,0.628380239009857,0.757676980728805,0.818753898143768
71,0.943029879868372,0.990704417228699,0.62485941314667,0.687019169330597,0.724006015858271,0.818764507770538
72,0.956219213167267,0.990704417228699,0.619983341204545,0.628380239009857,0.759693191382792,0.773732602596283
73,0.941566113821169,0.965550005435944,0.624323054107205,0.779641926288605,0.729532806003828,0.773732602596283
74,0.922369611969368,0.94501256942749,0.605815827513757,0.623699128627777,0.745657048082733,0.83595472574234
75,0.899985432624817,0.899985432624817,0.60373991727829,0.60373991727829,0.79979145526886,0.79979145526886
76,0.946156816377162,0.956256508827209,0.6001226802714,0.624516904354095,0.731295568262707,0.812282085418701
77,0.918445903465404,0.932072460651398,0.60772414323659,0.611092269420624,0.795376180007025,0.812282085418701
78,0.936325843363582,0.960726022720337,0.677663268866676,0.97284722328186,0.726670004469962,0.789697468280792
79,0.958328717645214,0.960726022720337,0.95776411579029,0.97284722328186,0.50492048537355,0.511817157268524
80,0.956626397827729,0.957934439182281,0.955846983946246,0.970943629741669,0.512162687855193,0.531919181346893
81,0.955183088779449,0.955183088779449,0.96907103061676,0.96907103061676,0.511817157268524,0.511817157268524
