"ReachNum","f.InvDist","f.InvDistSq","f.Web","f.WebSq","f.TPoly","WellNum","distToWell.min.m"
64,0.0560939765426402,0.0106334375155967,0.116039939637484,0.0281665401297207,0.108171585815027,1,1567.15
65,0.497243482882508,0.835563433472515,0.450840401900653,0.861515239139784,0.631878128958737,1,176.79
66,0.193526935846245,0.126568043585098,0.00379445856997551,0.00502029423806139,0.247422578130021,1,454.24
67,0.0194585021889011,0.00127955819147044,0.0127632251504219,0.00160192249568379,0,1,4517.7
68,0.0173588213893345,0.00101831395516889,0.00154013398347766,0.000183785027512324,0,1,5064.15
145,0.0249580308268077,0.00210504730534306,0.00875935168809547,0.00148640408740025,0,1,3522.22
146,0.0240032097978059,0.00194706239229437,0.0286581863821032,0.00428613371114845,0,1,3662.33
147,0.0200987876250745,0.0013651518084507,0.00945239533796768,0.00124711793677426,0,1,4373.78
149,0.0180785877596228,0.00110451146911261,0.00636280181321288,0.000784257993502021,0,1,4862.53
203,0.036073122879524,0.00439752896459768,0.0644196040400446,0.0150028846194775,0,1,2436.93
213,0.0164593066235526,0.000915512541504972,0.0238164037720232,0.00256990372947289,0,1,5340.91
214,0.0166473207234037,0.000936547738640682,0.0123159323250124,0.00139204061328408,0,1,5280.59
350,0.0599999149145799,0.0121658510602065,0.261237165399529,0.0767434762781786,0.0125277070962151,1,1465.13
64,0.135197344570952,0.0549238574409338,0.16022488321992,0.0751878622383519,0.196559502879464,2,602.7
65,0.549857882265422,0.908501435998136,0.391621295853199,0.806706821086395,0.677938579864375,2,148.19
66,0.0582836376187639,0.0102074675155639,0.00100971853669649,0.000422791594764389,0.123144826833954,2,1398.05
67,0.0224773221373279,0.00151814707616476,0.0127746513984967,0.00190966825720108,0,2,3625.14
68,0.0196845577860187,0.00116432985506633,0.0201617220607876,0.00256678082859213,0,2,4139.46
145,0.0210767192199027,0.00133484465823892,0.00650962963633115,0.00097631800510027,0,2,3866.04
146,0.0205649934312189,0.00127081361246271,0.0222772282255373,0.00307568315032303,0,2,3962.24
147,0.0183689228377554,0.0010138929133993,0.0076312854143041,0.00096662709478794,0,2,4435.94
149,0.0173894403459202,0.000908648508592449,0.00537015736493936,0.000664439358938876,0,2,4685.8
203,0.0336144483110619,0.0033952885096404,0.0493090144906619,0.0105065879385153,0,2,2424.06
213,0.0176115675476934,0.000932010346381128,0.0217871068732905,0.00256030253275416,0,2,4626.7
214,0.0179567143272825,0.000968898882457444,0.0116813625440769,0.00148936706444014,0,2,4537.77
350,0.0679164496006808,0.0138603646829625,0.289641944381759,0.0929667508498354,0.0023570904222059,2,1199.76
64,0.339365550666844,0.695129578260088,0.36231472396302,0.641605431545112,0.528334191676575,3,421.1
65,0.162263211937878,0.158917013986876,0.129995851137269,0.111520113979288,0.0751572445527774,3,880.71
66,0.0574941295168585,0.0199515786846407,0.000737042460727893,0.000395437726319228,0.211231939803284,3,2485.59
67,0.0624912360716836,0.0235704834013581,0.0250377105854937,0.0129138299769962,0.185276623967364,3,2286.83
68,0.0501084638180221,0.0151548777285081,0.0522258835431221,0.0196313638417655,0,3,2851.95
69,0.0316442798083738,0.00604394761324549,0.0123693189469524,0.00348303120789355,0,3,4516.04
145,0.0273227183343705,0.00450586389781305,0.00625958855024467,0.00158461772463925,0,3,5230.33
146,0.0269124705532156,0.00437156957388828,0.0046276226891254,0.00115474149744905,0,3,5310.06
203,0.0397573038063387,0.00954034562039904,0.0433330890959741,0.0142281999628382,0,3,3594.48
213,0.0290327091739803,0.00508751129884512,0.0063363151686587,0.00167045026403572,0,3,4922.27
214,0.0301524288288606,0.00548750414636189,0.0145357804477994,0.00404781245228732,0,3,4739.48
224,0.0333365603133833,0.00670767224113034,0.0178638397509928,0.00506535209745705,0,3,4286.79
227,0.0278505135018462,0.00468162553642067,0.00195889171520185,0.000507871113515052,0,3,5017.44
350,0.0822684236683447,0.0408504280104251,0.322404341945419,0.182191746610404,0,3,1737.08
64,0.405087351263867,0.847122198817085,0.40425090935613,0.779884994587938,0.444412633031794,4,269.16
65,0.0663506206854435,0.0227268202460557,0.0642570276278304,0.0230916572781764,0.221300868225935,4,1643.29
66,0.0315689038415964,0.00514479058422553,0.000393543414037344,0.000100956445543625,0.0357755212521159,4,3453.82
67,0.0778486851634198,0.0312860878889969,0.028605533952066,0.0151688543454783,0.298100756452085,4,1400.58
68,0.057220615939303,0.0169026093383527,0.0532651211109038,0.0185856356009788,0,4,1905.49
69,0.0308448951639747,0.00491151295835374,0.0123812937556619,0.00290083541798043,0,4,3534.89
70,0.0268292609114197,0.00371591794331375,0.0153823922385914,0.00300753631718327,0,4,4063.97
145,0.0187394943027313,0.00181286068733272,0.00417789779647234,0.000632124107194239,0,4,5818.37
146,0.0185712212666102,0.0017804493608004,0.0031159136750245,0.000468800710908153,0,4,5871.09
203,0.02715622047755,0.00380703920489458,0.0282853232729516,0.0054352540521325,0,4,4015.04
213,0.0237311131859369,0.002907266999539,0.00500966518540438,0.00093515041687326,0,4,4594.53
214,0.0251261249069425,0.00325911530715411,0.0117415666568595,0.00236548255776085,0,4,4339.44
224,0.0322834005845308,0.00538030935508734,0.0310837987239371,0.00662084809168452,0,4,3377.38
225,0.0214610534878679,0.0023776655817194,0.00132661620290526,0.000229446778859269,0,4,5080.52
226,0.0214762713350186,0.00238103874137601,0.0251750517088522,0.00404258457888165,0,4,5076.92
227,0.0268423387221984,0.00371954144348155,0.0342001771709616,0.00648000081772493,0,4,4061.99
350,0.0888624287615893,0.0407647755422319,0.277348168151411,0.130049837894702,0.000410221038069992,4,1226.99
54,0.0360552811327847,0.0120653130087747,0.0409060252921822,0.0161195938406218,0.15997023694811,5,4913.7
64,0.212051557071581,0.417333985051696,0.277130419990808,0.501658085485544,0.366807325622375,5,835.48
65,0.0776953557294876,0.0560261706424416,0.0740208492586288,0.0494703202879981,0.130577862260876,5,2280.25
66,0.0466987634765759,0.0202400500967351,0.000509495601149016,0.000280467637273783,0.158316024171192,5,3793.78
67,0.154342246859108,0.22109069114055,0.0475648018244125,0.0699688119911965,0.184328550997447,5,1147.87
68,0.100374402224405,0.0935075685979467,0.0796079154523928,0.0688294855661416,0,5,1765.04
69,0.0512459207445914,0.0243735855427396,0.0183036567695549,0.0105012109884973,0,5,3457.15
70,0.0459610900290204,0.019605659727295,0.0229872161386295,0.0111344861071946,0,5,3854.67
203,0.0361903588096001,0.0121558854442068,0.0342400561370857,0.0131670607216213,0,5,4895.36
224,0.0449028984598098,0.018713265167203,0.0391965011865062,0.0173749427066747,0,5,3945.51
225,0.0319942274175902,0.00950044779290841,0.00173362351109289,0.000649457210352361,0,5,5537.4
226,0.0320091990334201,0.00950934129312901,0.0307070830550093,0.0105912191610628,0,5,5534.81
227,0.0459958135766933,0.0196352950219874,0.0529014911822092,0.025661879032051,0,5,3851.76
350,0.0844828854353326,0.0662427414723859,0.280190864600339,0.20459297926377,0,5,2097.05
64,0.192522135787588,0.375603302200049,0.247223465445035,0.417448820677744,0.362255564179116,6,567.02
65,0.0424112067236525,0.0182275928442553,0.0482197999006693,0.0195499542159515,0,6,2573.94
66,0.0246076911917889,0.0061363453860181,0.000314444762721443,9.93672295214335e-05,0,6,4436.17
67,0.131069556394489,0.174089155673827,0.0500269988712684,0.0714824021047366,0.121405057433663,6,832.87
68,0.1031356241998,0.107791735071135,0.0859253996777665,0.0779902835781718,0.122601873070041,6,1058.45
69,0.0425041764562215,0.0183075939547086,0.0169634468313337,0.00840892343410732,0,6,2568.31
70,0.0348098065485372,0.0122792341060829,0.0277350732199459,0.0102955924356819,0,6,3136.01
71,0.0239004042593303,0.00578866682008995,0.016698502777745,0.00468552115760163,0,6,4567.45
145,0.0167774108496416,0.0028524493360568,0.00256495570507978,0.000550978388909852,0,6,6506.6
146,0.0167041667777501,0.00282759818818588,0.00287879398859732,0.000616938799329719,0,6,6528.72
203,0.0236416502291915,0.00566400509626187,0.0252636725120427,0.00668447490686046,0,6,4617.44
213,0.0244154461842227,0.00604084079877754,0.00526696816231375,0.00159377703357929,0,6,4471.1
214,0.0266613020572329,0.00720328785617055,0.0125832310363772,0.00419009569241857,0,6,4094.47
224,0.0430270393103458,0.0187607841384866,0.0402587385758473,0.0172460724715013,0,6,2537.1
225,0.0261635237129685,0.00693682165411511,0.00407143241046549,0.00133304770225415,0,6,4172.37
226,0.0261827260228379,0.00694700773466787,0.0303761198209133,0.00909804595235245,0,6,4169.31
227,0.0348269089939537,0.0122913029189126,0.0429567448584185,0.015883223708513,0,6,3134.47
311,0.0239021311974019,0.00578950337751087,0.0112997585455926,0.00333477513768244,0,6,4567.12
350,0.142737093103046,0.20646277284469,0.329372452897866,0.329507705373082,0.39373750531718,6,764.79
54,0.0151357969063222,0.00104031312487582,0.0325655134628854,0.00575911910929521,0.0588443203587457,7,4648.58
64,0.325876350251454,0.482235504018268,0.270501729462177,0.512417344598091,0.616826436069633,7,215.91
65,0.0232929875300983,0.00246379110350024,0.0437509225691499,0.00968338873586536,0.0410389085574539,7,3020.65
66,0.0149521032585639,0.00101521510192578,0.00030334586145398,5.61229112035124e-05,0.00999998316711229,7,4705.69
67,0.315827106485283,0.452952120581079,0.120041322323047,0.28486193335447,0.231083256299108,7,222.78
68,0.0895051046721682,0.0363788615406459,0.100898809341446,0.066465278329359,0.042207095547947,7,786.1
69,0.0285990532484052,0.00371412748923088,0.0186222016959703,0.00614097236660264,0,7,2460.22
70,0.0246049128661072,0.00274914190066047,0.0306503525983016,0.00764464995817631,0,7,2859.59
71,0.0164836879771139,0.00123384971325892,0.0184697117066318,0.00347750145350446,0,7,4268.46
203,0.0130285611510898,0.000770808341382748,0.0227774664737936,0.00329047836443455,0,7,5400.44
224,0.0216137063356797,0.00212134833353941,0.0343591167136486,0.00755310622238577,0,7,3255.34
