STORAGE_IN,CONSTANT_HEAD_IN,RIVER_LEAKAGE_IN,RECHARGE_IN,MNW2_IN,TOTAL_IN,STORAGE_OUT,CONSTANT_HEAD_OUT,RIVER_LEAKAGE_OUT,RECHARGE_OUT,MNW2_OUT,TOTAL_OUT,IN-OUT,PERCENT_DISCREPANCY,WellNum
0.0,0.0,484163.65625,914428.75,17.637300491333008,1398610.0,0.0,74298.9453125,1324291.375,0.0,19.908599853515625,1398610.25,-0.25,-0.0,0
0.0,0.0,484164.1875,914428.75,0.0,1398593.0,0.0,74298.6015625,1324292.375,0.0,2.271199941635132,1398593.25,-0.25,-0.0,0
0.0,0.0,484163.6875,914428.75,0.0,1398592.5,0.0,74298.9453125,1324291.375,0.0,2.271199941635132,1398592.625,-0.125,-0.0,0
0.0,0.0,484163.6875,914428.75,0.0,1398592.5,0.0,74298.9453125,1324291.375,0.0,2.271199941635132,1398592.625,-0.125,-0.0,0
0.0,0.0,484163.6875,914428.75,0.0,1398592.5,0.0,74298.9453125,1324291.375,0.0,2.271199941635132,1398592.625,-0.125,-0.0,0
0.0,0.0,484163.6875,914428.75,2.146199941635132,1398594.625,0.0,74298.9453125,1324291.375,0.0,4.417399883270264,1398594.75,-0.125,-0.0,0
0.0,0.0,484163.6875,914428.75,0.8654000163078308,1398593.375,0.0,74298.9453125,1324291.375,0.0,3.1384999752044678,1398593.5,-0.125,-0.0,0
0.0,0.0,484163.96875,914428.75,34.054901123046875,1398626.75,0.0,74298.9375,1324291.625,0.0,36.32619857788086,1398626.875,-0.125,-0.0,0
0.0,0.0,484163.78125,914428.75,0.0,1398592.5,0.0,74298.9375,1324291.625,0.0,2.271199941635132,1398592.75,-0.25,-0.0,0
0.0,0.0,484164.03125,914428.75,15.236300468444824,1398608.0,0.0,74298.9375,1324291.875,0.0,17.50779914855957,1398608.25,-0.25,-0.0,0
0.0,0.0,484164.0625,914428.75,0.0,1398592.75,0.0,74298.9375,1324291.875,0.0,2.271199941635132,1398593.0,-0.25,-0.0,0
0.0,0.0,484164.125,914428.75,0.0,1398592.875,0.0,74298.9453125,1324292.0,0.0,2.271199941635132,1398593.25,-0.375,-0.0,0
0.0,0.0,484164.21875,914428.75,0.0,1398593.0,0.0,74298.5390625,1324292.5,0.0,2.271199941635132,1398593.25,-0.25,-0.0,0
0.0,0.0,484164.25,914428.75,0.0,1398593.0,0.0,74298.9453125,1324292.125,0.0,2.271199941635132,1398593.375,-0.375,-0.0,0
0.0,0.0,484165.84375,914428.75,8.836099624633789,1398603.5,0.0,74298.9453125,1324293.625,0.0,11.107500076293945,1398603.75,-0.25,-0.0,0
0.0,0.0,484164.21875,914428.75,0.0,1398593.0,0.0,74298.9453125,1324292.125,0.0,2.271199941635132,1398593.375,-0.375,-0.0,0
0.0,0.0,484164.71875,914428.75,20.71139907836914,1398614.25,0.0,74298.9453125,1324292.625,0.0,22.98259925842285,1398614.625,-0.375,-0.0,0
0.0,0.0,484163.84375,914428.75,0.0,1398592.625,0.0,74298.9453125,1324291.75,0.0,2.271199941635132,1398593.0,-0.375,-0.0,0
0.0,0.0,484163.78125,914428.75,0.0,1398592.5,0.0,74298.9453125,1324291.625,0.0,2.271199941635132,1398592.875,-0.375,-0.0,0
0.0,0.0,484163.71875,914428.75,0.0,1398592.5,0.0,74298.9453125,1324291.625,0.0,2.271199941635132,1398592.875,-0.375,-0.0,0
0.0,0.0,484163.6875,914428.75,0.0,1398592.5,0.0,74298.9453125,1324291.625,0.0,2.271199941635132,1398592.875,-0.375,-0.0,0
0.0,0.0,484163.65625,914428.75,0.0,1398592.375,0.0,74298.9453125,1324291.625,0.0,2.271199941635132,1398592.875,-0.5,-0.0,0
0.0,0.0,484163.65625,914428.75,0.0,1398592.375,0.0,74298.9453125,1324291.5,0.0,2.271199941635132,1398592.75,-0.375,-0.0,0
0.0,0.0,484164.3125,914428.75,0.0,1398593.0,0.0,74298.9296875,1324292.25,0.0,2.271199941635132,1398593.375,-0.375,-0.0,0
0.0,0.0,484163.71875,914428.75,0.15559999644756317,1398592.625,0.0,74298.9453125,1324291.375,0.0,2.4370999336242676,1398592.75,-0.125,-0.0,0
0.0,0.0,484163.6875,914428.75,4.317500114440918,1398596.875,0.0,74298.9453125,1324291.5,0.0,6.588799953460693,1398597.125,-0.25,-0.0,0
0.0,0.0,484163.6875,914428.75,2.468899965286255,1398595.0,0.0,74298.9453125,1324291.5,0.0,4.740699768066406,1398595.25,-0.25,-0.0,0
0.0,0.0,484163.6875,914428.75,2.8666000366210938,1398595.375,0.0,74298.9453125,1324291.375,0.0,5.138599872589111,1398595.5,-0.125,-0.0,0
0.0,0.0,484163.65625,914428.75,0.0,1398592.375,0.0,74298.9453125,1324291.5,0.0,2.271199941635132,1398592.75,-0.375,-0.0,0
0.0,0.0,484163.84375,914428.75,0.0,1398592.625,0.0,74298.9375,1324291.625,0.0,2.271199941635132,1398592.75,-0.125,-0.0,0
0.0,0.0,484163.9375,914428.75,0.0,1398592.75,0.0,74298.9375,1324291.875,0.0,2.271199941635132,1398593.0,-0.25,-0.0,0
