State_Well_Number,Measurement_Date,RP_Elevation,GS_Elevation,RPWS,WSE,GSWS,QM_Code,NM_Code,Agency,Comment
13N14W11B001M,10-08-2002 00:00,403,400,30.5,372.5,27.5,,,5050,""
13N14W11B001M,10-09-2002 00:00,403,400,30.9,372.1,27.9,,,5562,""
13N14W11B001M,10-10-2002 00:00,403,400,30.81,372.19,27.81,,,5562,""
13N14W11B001M,11-22-2002 12:30,403,400,23.02,379.98,20.02,,,5562,""
13N14W11B001M,01-27-2003 12:30,403,400,11.2,391.8,8.2,,,5562,""
13N14W11B001M,02-21-2003 11:00,403,400,12.6,390.4,9.6,,,5562,""
13N14W11B001M,03-21-2003 17:20,403,400,12.71,390.29,9.71,,,5562,""
13N14W11B001M,03-31-2003 14:00,403,400,13.89,389.11,10.89,,,5562,""
13N14W11B001M,04-07-2003 14:45,403,400,14.13,388.87,11.13,,,5562,""
13N14W11B001M,04-15-2003 00:00,403,400,12.1,390.9,9.1,,,5050,""
13N14W11B001M,05-12-2003 12:30,403,400,11.85,391.15,8.85,,,5562,""
13N14W11B001M,06-12-2003 17:30,403,400,18.38,384.62,15.38,,,5562,""
13N14W11B001M,07-22-2003 13:50,403,400,25.54,377.46,22.54,,,5562,""
13N14W11B001M,08-26-2003 13:15,403,400,29.15,373.85,26.15,,,5562,""
13N14W11B001M,09-09-2003 13:05,403,400,29.8,373.2,26.8,,,5562,""
13N14W11B001M,10-23-2003 10:30,403,400,28.58,374.42,25.58,,,5562,""
13N14W11B001M,11-19-2003 00:00,403,400,23.4,379.6,20.4,,,5050,""
13N14W11B001M,11-24-2003 12:20,403,400,22.75,380.25,19.75,,,5562,""
13N14W11B001M,01-20-2004 13:15,403,400,12.16,390.84,9.16,,,5562,""
13N14W11B001M,02-19-2004 11:55,403,400,9.74,393.26,6.74,,,5562,"AFTER 4 TO 5 DAYS OF DELUGE-TYPE RAINS"
13N14W11B001M,03-24-2004 00:00,403,400,14.4,388.6,11.4,,,5050,""
13N14W11B001M,04-06-2004 14:00,403,400,15.13,387.87,12.13,,,5562,""
13N14W11B001M,06-01-2004 13:50,403,400,22.26,380.74,19.26,,,5562,""
13N14W11B001M,07-08-2004 15:15,403,400,27.32,375.68,24.32,,,5562,""
13N14W11B001M,08-03-2004 14:20,403,400,28.98,374.02,25.98,,,5562,""
13N14W11B001M,09-13-2004 15:05,403,400,31.85,371.15,28.85,,,5562,""
13N14W11B001M,10-05-2004 14:45,403,400,31.63,371.37,28.63,,,5562,""
13N14W11B001M,10-28-2004 00:00,403,400,27.8,375.2,24.8,,,5050,""
13N14W11B001M,11-09-2004 15:10,403,400,24.88,378.12,21.88,,,5562,""
13N14W11B001M,12-10-2004 14:15,403,400,18.9,384.1,15.9,,,5562,"AFTER HEAVY RAINS 3 DAYS PRIOR"
13N14W11B001M,01-21-2005 13:00,403,400,12.49,390.51,9.49,,,5562,""
13N14W11B001M,02-04-2005 15:10,403,400,11.57,391.43,8.57,,,5562,""
13N14W11B001M,03-11-2005 16:10,403,400,12.12,390.88,9.12,,,5562,""
13N14W11B001M,04-11-2005 00:00,403,400,10.7,392.3,7.7,,,5050,""
13N14W11B001M,04-26-2005 13:45,403,400,13.6,389.4,10.6,,,5562,""
13N14W11B001M,05-11-2005 13:12,403,400,14.45,388.55,11.45,,,5562,""
13N14W11B001M,06-15-2005 16:20,403,400,18.45,384.55,15.45,,,5562,""
13N14W11B001M,07-29-2005 13:25,403,400,22.78,380.22,19.78,,,5562,"CEMENT BASE IS NOT STATIONARY!  IT CAN BE MOVED EASILY WHEN STANDING ON THE BASE, OR WHEN PUSHING THE METAL CASE."
13N14W11B001M,08-26-2005 15:50,403,400,25.55,377.45,22.55,,,5562,""
13N14W11B001M,09-15-2005 13:15,403,400,25.67,377.33,22.67,,,5562,"AV-1A READING ON 9-27-05: 25.18' AT 12:08. MINI-TROLL W/ 50' CABLE INSTALLED."
13N14W11B001M,10-19-2005 14:15,403,400,24.51,378.49,21.51,,,5562,""
13N14W11B001M,11-02-2005 00:00,403,400,23.3,379.7,20.3,,,5050,""
13N14W11B001M,01-20-2006 16:20,403,400,10.17,392.83,7.17,,,5562,""
13N14W11B001M,02-15-2006 12:30,403,400,12.51,390.49,9.51,,,5562,""
13N14W11B001M,03-21-2006 00:00,403,400,9.8,393.2,6.8,,,5050,""
13N14W11B001M,03-29-2006 16:55,403,400,9.83,393.17,6.83,,,5562,""
13N14W11B001M,04-18-2006 13:25,403,400,9.31,393.69,6.31,,,5562,"PDST  HIGHEST READING SO FAR!"
13N14W11B001M,05-18-2006 15:35,403,400,15.7,387.3,12.7,,,5562,"NO RAIN SINCE APRIL 24."
13N14W11B001M,06-27-2006 14:45,403,400,20.74,382.26,17.74,,,5562,""
13N14W11B001M,07-18-2006 13:00,403,400,22.4,380.6,19.4,,,5562,""
13N14W11B001M,08-21-2006 13:20,403,400,24.92,378.08,21.92,,,5562,""
13N14W11B001M,09-21-2006 10:44,403,400,26.56,376.44,23.56,,,5562,""
13N14W11B001M,10-18-2006 10:42,403,400,24.84,378.16,21.84,,,5562,""
13N14W11B001M,11-14-2006 11:47,403,400,24.43,378.57,21.43,,,5562,""
13N14W11B001M,12-18-2006 15:38,403,400,19.89,383.11,16.89,,,5562,""
13N14W11B001M,01-16-2007 13:51,403,400,18.16,384.84,15.16,,,5562,""
13N14W11B001M,02-13-2007 15:41,403,400,13.22,389.78,10.22,,,5562,""
13N14W11B001M,03-15-2007 15:42,403,400,13.89,389.11,10.89,,,5562,""
13N14W11B001M,04-03-2007 00:00,403,400,16.2,386.8,13.2,,,5050,""
13N14W11B001M,04-25-2007 15:28,403,400,17.49,385.51,14.49,,,5562,""
13N14W11B001M,05-18-2007 00:00,403,400,19.9,383.1,16.9,,,5562,"NULL"
13N14W11B001M,06-25-2007 00:00,403,400,24.3,378.7,21.3,,,5562,"NULL"
13N14W11B001M,07-12-2007 00:00,403,400,26,377,23,,,5562,"NULL"
13N14W11B001M,08-21-2007 00:00,403,400,29.7,373.3,26.7,,,5562,"NULL"
