State_Well_Number,Measurement_Date,RP_Elevation,GS_Elevation,RPWS,WSE,GSWS,QM_Code,NM_Code,Agency,Comment
13N14W02N001M,10-08-2002 00:00,380,377,16.6,363.4,13.6,,,5050,""
13N14W02N001M,10-10-2002 00:00,380,377,17,363,14,,,5562,""
13N14W02N001M,11-22-2002 13:30,380,377,14.7,365.3,11.7,,,5562,"118 MM IN RAINGAUGE,GAUGE RESET"
13N14W02N001M,01-27-2003 13:30,380,377,5.75,374.25,2.75,,,5562,""
13N14W02N001M,02-21-2003 12:20,380,377,5.7,374.3,2.7,,,5562,""
13N14W02N001M,03-31-2003 13:25,380,377,5.77,374.23,2.77,,,5562,""
13N14W02N001M,04-07-2003 18:00,380,377,5.9,374.1,2.9,,,5562,""
13N14W02N001M,04-15-2003 00:00,380,377,5.5,374.5,2.5,,,5050,""
13N14W02N001M,05-12-2003 13:15,380,377,4.9,375.1,1.9,,,5562,""
13N14W02N001M,06-16-2003 17:55,380,377,8.81,371.19,5.81,,,5562,""
13N14W02N001M,07-22-2003 15:15,380,377,11.66,368.34,8.66,,,5562,""
13N14W02N001M,08-26-2003 13:50,380,377,13.24,366.76,10.24,,,5562,""
13N14W02N001M,09-09-2003 14:20,380,377,13.74,366.26,10.74,,,5562,""
13N14W02N001M,10-31-2003 12:30,380,377,15.8,364.2,12.8,,,5562,""
13N14W02N001M,11-19-2003 00:00,380,377,14.3,365.7,11.3,,,5050,""
13N14W02N001M,11-24-2003 13:10,380,377,14.31,365.69,11.31,,,5562,""
13N14W02N001M,01-20-2004 14:55,380,377,5.51,374.49,2.51,,,5562,""
13N14W02N001M,02-19-2004 11:35,380,377,4.82,375.18,1.82,,,5562,""
13N14W02N001M,03-24-2004 00:00,380,377,6.5,373.5,3.5,,,5050,""
13N14W02N001M,04-06-2004 13:40,380,377,6.82,373.18,3.82,,,5562,""
13N14W02N001M,06-01-2004 13:30,380,377,9.82,370.18,6.82,,,5562,""
13N14W02N001M,07-08-2004 14:55,380,377,12.11,367.89,9.11,,,5562,""
13N14W02N001M,08-03-2004 13:30,380,377,13.6,366.4,10.6,,,5562,""
