"row" "col" "lay" "lon" "lat" "WellNum" "ztop_m"
48 16 0 434634.12422272 4338604.71038478 1 11.0941324234009
48 20 0 435634.12422272 4338604.71038478 2 37.5952110290527
52 24 0 436634.12422272 4337604.71038478 3 163.173202514648
52 28 0 437634.12422272 4337604.71038478 4 51.7970733642578
56 28 0 437634.12422272 4336604.71038478 5 257.102661132812
52 32 0 438634.12422272 4337604.71038478 6 204.441802978516
56 32 0 438634.12422272 4336604.71038478 7 77.8862380981445
60 32 0 438634.12422272 4335604.71038478 8 260.833770751953
52 36 0 439634.12422272 4337604.71038478 9 188.216583251953
56 36 0 439634.12422272 4336604.71038478 10 45.4025382995605
60 36 0 439634.12422272 4335604.71038478 11 263.662414550781
64 36 0 439634.12422272 4334604.71038478 12 324.9111328125
52 40 0 440634.12422272 4337604.71038478 13 185.369445800781
60 40 0 440634.12422272 4335604.71038478 14 135.339416503906
64 40 0 440634.12422272 4334604.71038478 15 333.023864746094
68 40 0 440634.12422272 4333604.71038478 16 316.037017822266
52 44 0 441634.12422272 4337604.71038478 17 60.220890045166
56 44 0 441634.12422272 4336604.71038478 18 99.9604187011719
60 44 0 441634.12422272 4335604.71038478 19 100.921096801758
64 44 0 441634.12422272 4334604.71038478 20 270.855987548828
68 44 0 441634.12422272 4333604.71038478 21 317.783905029297
52 48 0 442634.12422272 4337604.71038478 22 97.7536087036133
56 48 0 442634.12422272 4336604.71038478 23 180.190811157227
60 48 0 442634.12422272 4335604.71038478 24 146.264175415039
64 48 0 442634.12422272 4334604.71038478 25 239.100891113281
68 48 0 442634.12422272 4333604.71038478 26 142.98616027832
72 48 0 442634.12422272 4332604.71038478 27 335.401885986328
48 52 0 443634.12422272 4338604.71038478 28 229.284942626953
52 52 0 443634.12422272 4337604.71038478 29 180.653350830078
60 52 0 443634.12422272 4335604.71038478 30 167.547256469727
68 52 0 443634.12422272 4333604.71038478 31 248.410675048828
72 52 0 443634.12422272 4332604.71038478 32 241.558959960938
48 56 0 444634.12422272 4338604.71038478 33 95.28955078125
52 56 0 444634.12422272 4337604.71038478 34 119.863639831543
56 56 0 444634.12422272 4336604.71038478 35 160.551971435547
60 56 0 444634.12422272 4335604.71038478 36 75.4770889282227
64 56 0 444634.12422272 4334604.71038478 37 74.1912307739258
68 56 0 444634.12422272 4333604.71038478 38 133.983383178711
72 56 0 444634.12422272 4332604.71038478 39 233.235641479492
44 60 0 445634.12422272 4339604.71038478 40 156.153671264648
48 60 0 445634.12422272 4338604.71038478 41 299.925170898438
