"SegNum" "FromNode" "ToNode" "SFR_NSEG" "TotDASqKM" "TerminalFl" "TerminalPa" "SFR_OUTSEG" "DirectDASqKM" "width_m"
45 10006070 10006069 68 33.2721 "0" 10028616 69 1.422 10.4857994701043
44 10006069 10006055 69 42.7842 "0" 10028616 70 2.70359999999999 10.7177338679838
43 10006055 10006048 70 44.7777 "0" 10028616 71 1.9935 10.7669880437968
42 10006048 10006046 71 46.5255 "0" 10028616 72 1.7478 10.8103578032246
41 10006046 10006039 72 50.2785 "0" 10028616 73 3.753 10.9040756302955
40 10006039 10006034 73 52.1685 "0" 10028616 74 1.89 10.9515788204409
39 10006034 10006031 74 54.2907 "0" 10028616 75 0.521999999999998 11.0051648055731
38 10006031 10006022 75 64.4679 "0" 10028616 76 2.9115 11.2658074647087
37 10006022 10006241 76 71.6643 "1" 10028616 0 0.694800000000001 11.4538276920437
60 10006072 10006073 77 7.0317 "0" 10031034 78 7.0317 9.87166952276977
59 10006073 10006052 78 16.1766 "0" 10031034 79 9.1449 10.0815020091229
58 10006052 10006042 79 23.2083 "0" 10031034 80 7.0317 10.2458748445123
57 10006042 10006036 80 26.8794 "0" 10031034 81 3.6711 10.3327524568533
56 10006036 10006019 81 35.8389 "0" 10031034 82 8.9595 10.5478869460135
55 10006019 10006016 82 37.0269 "0" 10031034 83 1.188 10.5767474035058
54 10006016 10006009 83 45.4608 "0" 10031034 84 8.4339 10.7839176775673
53 10006009 10006008 84 49.3101 "0" 10031034 85 3.8493 10.8798157918037
52 10006008 10006004 85 53.9973 "0" 10031034 86 4.6872 10.9977408054726
51 10006004 10006005 86 65.1393 "0" 10031034 87 11.142 11.2832177891377
50 10006005 10006240 87 66.5955 "1" 10031034 0 1.4562 11.3210715748498
235 10006109 10006110 88 1.8486 "0" 10013609 203 1.8486 9.75468673597431
223 10006288 10006290 89 1.9989 "0" 10013609 216 1.9989 9.75805941654945
249 10006111 10006113 90 2.1321 "0" 10013609 131 2.1321 9.76104935360748
254 10006074 10006075 91 2.2401 "0" 10013609 96 2.2401 9.76347429943272
267 10006047 10006053 92 2.9601 "0" 10013609 94 2.9601 9.77965600762899
227 10006121 10006112 93 3.0933 "0" 10013609 120 3.0933 9.78265256203226
268 10006053 10006054 94 3.1446 "0" 10013609 241 0.1845 9.78380688530601
176 10005928 10005935 95 3.2373 "0" 10013609 107 3.2373 9.78589311316645
253 10006075 10006077 96 3.789 "0" 10013609 115 1.5489 9.79831841242272
297 10005941 10005942 97 4.2003 "0" 10013609 136 4.2003 9.80759190928377
288 10005995 10005991 98 4.2723 "0" 10013609 154 4.2723 9.80921618098993
224 10006145 10006267 99 4.2786 "0" 10013609 104 4.2786 9.80935831756217
271 10006006 10006011 100 4.4172 "0" 10013609 135 4.4172 9.81248584327648
287 10005992 10005982 101 4.9167 "0" 10013609 186 4.9167 9.82376539565378
286 10005984 10005987 102 5.121 "0" 10013609 123 5.121 9.8283825694725
265 10006027 10006037 103 5.3253 "0" 10013609 130 5.3253 9.83300191336482
225 10006267 10006268 104 5.3505 "0" 10013609 225 1.0719 9.83357185067234
299 10005953 10005956 105 6.0525 "0" 10013609 124 6.0525 9.849461960416
250 10006123 10006124 106 6.0588 "0" 10013609 190 6.0588 9.84960468015381
175 10005935 10005940 107 6.0993 "0" 10013609 118 2.862 9.85052221356322
295 10005910 10005915 108 6.1938 "0" 10013609 127 6.1938 9.85266345725756
291 10005926 10005934 109 6.3927 "0" 10013609 126 6.3927 9.85717178634338
270 10006177 10006028 110 6.588 "0" 10013609 246 6.588 9.86160052393594
214 10005969 10005952 111 6.66 "0" 10013609 258 6.66 9.86323374020928
256 10006049 10006061 112 6.8049 "0" 10013609 134 6.8049 9.86652140792797
216 10006183 10006100 113 6.93 "0" 10013609 233 6.93 9.86936071058936
289 10005985 10005990 114 7.0407 "0" 10013609 145 7.0407 9.87187386844386
252 10006077 10006078 115 7.3503 "0" 10013609 149 3.5613 9.87890593578822
263 10006013 10006018 116 7.3944 "0" 10013609 156 7.3944 9.87990800403632
222 10006354 10006353 117 7.4358 "0" 10013609 188 7.4358 9.8808488136677
174 10005940 10005942 118 7.4547 "0" 10013609 136 1.3554 9.8812783435014
274 10005999 10006000 119 7.4583 "0" 10013609 251 7.4583 9.8813601608248
226 10006112 10006096 120 8.0253 "0" 10013609 235 4.932 9.89425484876433
272 10006012 10006015 121 8.3214 "0" 10013609 248 8.3214 9.90099542815185
221 10006305 10006304 122 8.3853 "0" 10013609 140 8.3853 9.90245068438681
285 10005987 10005990 123 8.4816 "0" 10013609 145 3.3606 9.90464422110315
298 10005956 10006174 124 8.838 "0" 10013609 257 2.7855 9.91276658464118
217 10006280 10006385 125 8.874 "0" 10013609 224 8.874 9.9135873956955
290 10005934 10005938 126 9.2763 "0" 10013609 152 2.8836 9.92276458410243
294 10005915 10005919 127 9.5058 "0" 10013609 138 3.312 9.92800369799964
251 10006092 10006103 128 9.5202 "0" 10013609 142 9.5202 9.92833251892736
328 10006329 10006388 129 10.0431 "0" 10013609 141 10.0431 9.94028020972243
264 10006037 10006068 130 10.1016 "0" 10013609 208 4.7763 9.94161776440662
241 10006113 10006116 131 10.5732 "0" 10013609 132 8.4411 9.95240708878767
242 10006116 10006138 132 10.6236 "0" 10013609 148 0.0503999999999998 9.95356083868746
296 10005937 10005944 133 10.6326 "0" 10013609 191 10.6326 9.95376687952934
255 10006061 10006063 134 10.8711 "0" 10013609 165 4.0662 9.95922851620455
183 10006011 10006010 135 11.6622 "0" 10013609 150 7.245 9.97736612722633
173 10005942 10005962 136 11.7189 "0" 10013609 151 0.0638999999999985 9.97866736038804
215 10006091 10006101 137 12.4281 "0" 10013609 234 12.4281 9.99495744569549
293 10005919 10005921 138 12.6621 "0" 10013609 144 3.1563 10.0003381796184
333 10006383 10006382 139 12.9402 "0" 10013609 147 12.9402 10.0067367420663
220 10006304 10006302 140 14.067 "0" 10013609 159 5.6817 10.03270423594
165 10006388 10006332 141 14.1462 "0" 10013609 146 4.1031 10.0345319598077
232 10006103 10006104 142 14.3226 "0" 10013609 211 4.8024 10.0386039961118
248 10006276 10006274 143 14.8131 "0" 10013609 153 14.8131 10.0499354377912
292 10005921 10005930 144 14.9625 "0" 10013609 183 2.3004 10.0533893899959
284 10005990 10005991 145 15.5997 "0" 10013609 154 0.077399999999999 10.0681340372938
164 10006332 10006333 146 15.9732 "0" 10013609 195 1.827 10.0767867838774
332 10006382 10006379 147 16.1118 "0" 10013609 155 3.1716 10.0799995740277
240 10006138 10006132 148 16.4826 "0" 10013609 187 5.859 10.0885998676804
115 10006078 10006063 149 17.0046 "0" 10013609 165 9.6543 10.1007195146498
182 10006010 10006176 150 17.0262 "0" 10013609 158 5.364 10.1012213308603
172 10005962 10005973 151 19.4364 "0" 10013609 227 7.7175 10.1573725394549
131 10005938 10006172 152 19.467 "0" 10013609 157 10.1907 10.1580874404913
247 10006274 10006273 153 19.7451 "0" 10013609 171 4.932 10.1645869363755
283 10005991 10005988 154 20.3733 "0" 10013609 162 0.501300000000001 10.1792839564678
331 10006379 10006378 155 20.8845 "0" 10013609 160 4.7727 10.1912593901108
262 10006018 10006021 156 21.5325 "0" 10013609 161 14.1381 10.2064597676135
130 10006172 10005932 157 23.2605 "0" 10013609 166 3.7935 10.2471050380932
181 10006176 10006014 158 23.5692 "0" 10013609 167 6.543 10.2543831686082
219 10006302 10006286 159 25.5411 "0" 10013609 163 11.4741 10.3009962142031
330 10006378 10006373 160 25.65 "0" 10013609 179 4.7655 10.3035766278695
261 10006021 10006025 161 26.1774 "0" 10013609 164 4.6449 10.3160826558882
282 10005988 10005977 162 27.4554 "0" 10013609 174 7.0821 10.3464503587949
218 10006286 10006285 163 27.5157 "0" 10013609 219 1.9746 10.3478854075063
260 10006025 10006030 164 28.4247 "0" 10013609 169 2.2473 10.3695423627374
114 10006063 10006059 165 28.5129 "0" 10013609 168 0.637199999999996 10.3716461414801
129 10005932 10005930 166 28.6956 "0" 10013609 183 5.4351 10.3760053267277
180 10006014 10006026 167 28.9341 "0" 10013609 170 5.3649 10.381698645842
113 10006059 10006064 168 29.916 "0" 10013609 172 1.4031 10.4051708571056
259 10006030 10006033 169 30.9636 "0" 10013609 173 2.5389 10.4302721365538
179 10006026 10006029 170 31.5585 "0" 10013609 247 2.6244 10.4445533330484
246 10006273 10006270 171 32.0445 "0" 10013609 175 12.2994 10.4562347823097
112 10006064 10006065 172 32.2434 "0" 10013609 180 2.3274 10.4610192903366
258 10006033 10006056 173 32.4081 "0" 10013609 177 1.4445 10.4649827797113
281 10005977 10005979 174 33.0003 "0" 10013609 181 5.5449 10.479246425922
244 10006270 10006422 175 35.8758 "0" 10013609 176 3.8313 10.5487821831675
243 10006422 10006147 176 35.8983 "0" 10013609 178 0.0225000000000009 10.5493280967709
257 10006056 10006060 177 36.171 "0" 10013609 197 3.7629 10.555946816293
245 10006147 10006132 178 36.3267 "0" 10013609 187 0.428400000000003 10.5597276833501
329 10006373 10006392 179 36.4734 "0" 10013609 184 10.8234 10.5632912422242
111 10006065 10006060 180 38.1015 "0" 10013609 197 5.8581 10.6029210126139
280 10005979 10005981 181 38.2905 "0" 10013609 182 5.2902 10.6075311043089
279 10005981 10005982 182 44.3178 "0" 10013609 186 6.0273 10.7556050682001
128 10005930 10005936 183 44.5968 "0" 10013609 185 0.938700000000004 10.7625091549116
106 10006392 10006353 184 44.9973 "0" 10013609 188 8.5239 10.7724276077098
127 10005936 10005944 185 48.0843 "0" 10013609 191 3.4875 10.8491850914181
278 10005982 10005978 186 53.8893 "0" 10013609 192 4.6548 10.9950093059228
239 10006132 10006124 187 54.3519 "0" 10013609 190 1.54259999999999 11.006714001601
105 10006353 10006347 188 54.9612 "0" 10013609 189 2.52809999999999 11.0221495135957
104 10006347 10006333 189 59.5179 "0" 10013609 195 4.5567 11.1382736107431
238 10006124 10006125 190 60.5826 "0" 10013609 199 0.171900000000001 11.1655825500988
126 10005944 10005945 191 60.5916 "0" 10013609 193 1.8747 11.1658136800497
277 10005978 10006175 192 63.1791 "0" 10013609 196 9.2898 11.232462353462
125 10005945 10005955 193 69.8598 "0" 10013609 194 9.26820000000001 11.4063888103595
124 10005955 10005958 194 73.7361 "0" 10013609 217 3.87629999999999 11.5085370298375
103 10006333 10006334 195 75.519 "0" 10013609 198 0.0279000000000025 11.555826635647
276 10006175 10005958 196 76.1247 "0" 10013609 217 12.9456 11.5719363920174
110 10006060 10006040 197 80.0352 "0" 10013609 202 5.7627 11.6764855844884
102 10006334 10006326 198 81.216 "0" 10013609 200 5.69699999999999 11.7082401517422
237 10006125 10006115 199 81.8064 "0" 10013609 201 21.2238 11.7241498047824
101 10006326 10006317 200 84.5037 "0" 10013609 205 3.2877 11.7971100491152
236 10006115 10006110 201 84.9483 "0" 10013609 203 3.14190000000001 11.8091797079534
109 10006040 10006068 202 85.0977 "0" 10013609 208 5.0625 11.8132382755472
234 10006110 10006108 203 86.9013 "0" 10013609 204 0.104399999999998 11.8623446787565
233 10006108 10006104 204 89.3664 "0" 10013609 211 2.46509999999999 11.9297919936051
100 10006317 10006309 205 89.8731 "0" 10013609 206 5.3694 11.9437031970457
