"OBJECTID" "REACHCODE" "TerminalPa" "lineLength_m" "TotDASqKM" "StreamOrde" "TerminalFl" "SLOPE" "FromNode" "ToNode" "SegNum" "id" "elev_m_min" "elev_m_med" "elev_m_mean" "elev_m_max" "length_m" "elev_m" "ibound" "lon" "lat" "ncell" "row" "col" "totalLength_m" "n.segments" "seg_proportion"
2557212 "18010108000035" 10018246 3786.55416582982 174.3003 4 "0" 0.00394027 10006375 10006377 1 8485 61.4046173095703 99.8034324645996 98.3469710423396 134.031356811523 77.439415750749 99.1481094360352 1 452859.12422272 4302179.71038478 331189 486 222 77.439415750749 1 1
2557212 "18010108000035" 10018246 3786.55416582982 174.3003 4 "0" 0.00394027 10006375 10006377 1 8490 61.4406890869141 89.0105628967285 89.7910444699801 136.684860229492 50.6330175814714 91.9232330322266 1 452659.12422272 4302079.71038478 331868 487 220 50.6330175814714 1 1
2557212 "18010108000035" 10018246 3786.55416582982 174.3003 4 "0" 0.00394027 10006375 10006377 1 8491 61.0876579284668 61.9793682098389 64.4069058100383 83.2479553222656 131.58926056683 61.9819984436035 1 452759.12422272 4302079.71038478 331869 487 221 131.58926056683 1 1
2557212 "18010108000035" 10018246 3786.55416582982 174.3003 4 "0" 0.00394027 10006375 10006377 1 8492 60.9072952270508 61.7134647369385 63.2090002206656 78.2549591064453 54.7085806614334 61.7770156860352 1 452859.12422272 4302079.71038478 331870 487 222 54.7085806614334 1 1
2557212 "18010108000035" 10018246 3786.55416582982 174.3003 4 "0" 0.00394027 10006375 10006377 1 8493 61.1336250305176 62.1496677398682 64.5840355237325 80.1191711425781 123.570538700776 62.1166458129883 1 452959.12422272 4302079.71038478 331871 487 223 123.570538700776 1 1
2557212 "18010108000035" 10018246 3786.55416582982 174.3003 4 "0" 0.00394027 10006375 10006377 1 8494 61.2330513000488 73.0280380249023 74.8465425051176 101.189170837402 41.0056167994657 71.1371765136719 1 453059.12422272 4302079.71038478 331872 487 224 41.0056167994657 1 1
2557212 "18010108000035" 10018246 3786.55416582982 174.3003 4 "0" 0.00394027 10006375 10006377 1 8502 61.0080375671387 79.5002937316895 81.6678876876831 127.325759887695 103.744479333407 75.601318359375 1 452559.12422272 4301979.71038478 332548 488 219 103.744479333407 1 1
2557212 "18010108000035" 10018246 3786.55416582982 174.3003 4 "0" 0.00394027 10006375 10006377 1 8503 61.0798797607422 63.5460929870605 67.6155422504132 92.3878555297852 60.11966979459 62.579532623291 1 452659.12422272 4301979.71038478 332549 488 220 60.11966979459 1 1
2557212 "18010108000035" 10018246 3786.55416582982 174.3003 4 "0" 0.00394027 10006375 10006377 1 8504 61.1183624267578 61.7627792358398 62.7750377497397 78.3513336181641 108.50175972145 61.7840995788574 1 453059.12422272 4301979.71038478 332553 488 224 108.50175972145 1 1
2557212 "18010108000035" 10018246 3786.55416582982 174.3003 4 "0" 0.00394027 10006375 10006377 1 8505 61.1114501953125 88.9550132751465 89.0941749148899 128.907287597656 15.491185489388 86.6688613891602 1 453159.12422272 4301979.71038478 332554 488 225 15.491185489388 1 1
2557212 "18010108000035" 10018246 3786.55416582982 174.3003 4 "0" 0.00394027 10006375 10006377 1 8512 60.5847396850586 61.4201469421387 64.2094012004573 83.0929870605469 164.156911370807 61.283317565918 1 452559.12422272 4301879.71038478 333229 489 219 164.156911370807 1 1
2557212 "18010108000035" 10018246 3786.55416582982 174.3003 4 "0" 0.00394027 10006375 10006377 1 8513 60.9836273193359 62.0215969085693 67.4958780924479 96.1871871948242 141.327637708218 63.8114891052246 1 453159.12422272 4301879.71038478 333235 489 225 141.327637708218 1 1
2557212 "18010108000035" 10018246 3786.55416582982 174.3003 4 "0" 0.00394027 10006375 10006377 1 8514 62.226676940918 89.5342216491699 89.4267936119666 122.311805725098 12.3278788382197 89.0203628540039 1 453259.12422272 4301879.71038478 333236 489 226 12.3278788382197 1 1
2557212 "18010108000035" 10018246 3786.55416582982 174.3003 4 "0" 0.00394027 10006375 10006377 1 8515 60.8479042053223 91.3317070007324 90.8087816238403 121.753082275391 106.409926205558 88.7384338378906 1 453359.12422272 4301879.71038478 333237 489 227 106.409926205558 1 1
2557212 "18010108000035" 10018246 3786.55416582982 174.3003 4 "0" 0.00394027 10006375 10006377 1 8516 60.559684753418 83.0413551330566 85.3485531733586 115.861793518066 100.003195265784 81.0990982055664 1 453459.12422272 4301879.71038478 333238 489 228 100.003195265784 1 1
2557212 "18010108000035" 10018246 3786.55416582982 174.3003 4 "0" 0.00394027 10006375 10006377 1 8517 60.5812377929688 82.3079414367676 83.1629514694214 112.684791564941 104.491980351777 88.9861145019531 1 453559.12422272 4301879.71038478 333239 489 229 104.491980351777 1 1
2557212 "18010108000035" 10018246 3786.55416582982 174.3003 4 "0" 0.00394027 10006375 10006377 1 8518 60.6555786132812 67.0602760314941 69.5767939567566 94.200065612793 41.1787924918082 62.964599609375 1 453659.12422272 4301879.71038478 333240 489 230 172.172959401606 3 0.239171079099336
2557212 "18010108000035" 10018246 3786.55416582982 174.3003 4 "0" 0.00394027 10006375 10006377 1 8529 61.2178840637207 77.0329513549805 79.2846662032703 110.608703613281 2.71996576911566 82.2400665283203 1 452559.12422272 4301779.71038478 333910 490 219 2.71996576911566 1 1
2557212 "18010108000035" 10018246 3786.55416582982 174.3003 4 "0" 0.00394027 10006375 10006377 1 8530 60.7220764160156 61.4354000091553 68.0210716247559 102.867263793945 103.110883282866 61.1404838562012 1 452659.12422272 4301779.71038478 333911 490 220 103.110883282866 1 1
